Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Bob Swift\swiftbo01,30,95,310,279,19,65,5,0,0,24,1,0,26,22,.233,.298,.251,.549,56,70,7,0,5,,7
2,1B,Rudy York\yorkru01,31,155,656,595,71,157,25,5,18,87,6,6,60,85,.264,.331,.413,.745,109,246,23,0,0,,7
3,2B,Eddie Mayo*\mayoed01,35,134,562,501,71,143,24,3,10,54,7,7,47,29,.285,.347,.405,.752,112,203,7,0,13,,4
4,SS,Skeeter Webb\webbsk01,35,118,449,407,43,81,12,2,0,21,8,7,30,35,.199,.254,.238,.492,39,97,9,0,12,,0
5,3B,Bob Maier\maierbo01,29,132,529,486,58,128,25,7,1,34,7,11,38,32,.263,.317,.350,.667,88,170,10,0,5,,5
6,OF,Doc Cramer*\cramedo01,39,141,594,541,62,149,22,8,6,58,2,9,36,21,.275,.324,.379,.703,98,205,9,3,15,,4
7,OF,Jimmy Outlaw\outlaji01,32,132,494,446,56,121,16,5,0,34,6,7,45,33,.271,.338,.330,.668,89,147,5,0,3,,4
8,OF,Roy Cullenbine#\cullero01,31,146,633,523,80,145,27,5,18,93,2,0,102,36,.277,.398,.451,.849,139,236,11,3,5,,8
9,OF,Hank Greenberg\greenha01,34,78,312,270,46,84,20,2,13,60,3,1,42,40,.311,.404,.544,.948,166,147,9,0,0,,4
10,C,Paul Richards\richapa01,36,83,256,234,26,60,12,1,3,32,4,0,19,31,.256,.315,.355,.670,89,83,1,1,2,,2
11,SS,Joe Hoover\hoovejo01,30,74,250,222,34,57,10,5,1,17,6,2,21,35,.257,.324,.360,.684,93,80,3,1,6,,0
12,2B,Red Borom*\boromre01,29,55,143,130,19,35,4,0,0,9,4,2,7,8,.269,.307,.300,.607,71,39,2,0,7,,0
13,OF,Chuck Hostetler*\hostech01,41,42,51,44,3,7,3,0,0,2,0,0,7,8,.159,.275,.227,.502,42,10,0,0,0,,1
14,3B,Don Ross\rossdo01,30,8,34,29,3,11,4,0,0,4,2,0,5,1,.379,.471,.517,.988,178,15,1,0,0,,1
15,OF,Hub Walker*\walkehu01,38,28,32,23,5,3,0,0,0,1,1,0,9,4,.130,.375,.130,.505,45,3,1,0,0,,0
16,OF,Ed Mierkowicz\mierked01,21,10,16,15,0,2,2,0,0,2,0,0,1,3,.133,.188,.267,.454,27,4,0,0,0,,0
17,1B,John McHale*\mchaljo01,23,19,16,14,0,2,0,0,0,1,0,0,1,4,.143,.250,.143,.393,12,2,0,1,0,,0
18,C,Hack Miller\milleha02,32,2,5,4,0,3,0,0,0,1,0,0,0,0,.750,.750,.750,1.500,323,3,1,0,1,,0
19,C,Milt Welch\welchmi02,20,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,,0
20,,Carl McNabb\mcnabca01,28,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,,0
21,,Russ Kerns*\kernsru01,24,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,,0
22,P,Hal Newhouser*\newhoha01,24,40,124,109,8,28,5,1,0,17,0,1,7,10,.257,.302,.321,.623,76,35,1,0,8,,0
23,P,Dizzy Trout\troutdi01,30,42,104,102,11,25,3,2,2,11,1,1,2,23,.245,.260,.373,.632,77,38,3,0,0,,0
24,P,Al Benton\bentoal01,34,31,73,63,2,4,2,0,0,3,0,0,2,21,.063,.092,.095,.188,-47,6,2,0,8,,0
25,P,Stubby Overmire\overmst01,26,31,63,53,5,10,2,1,0,3,0,0,4,6,.189,.246,.264,.510,44,14,1,0,6,,0
26,P,Les Mueller\muellle01,26,26,47,44,5,8,3,0,1,4,0,0,2,10,.182,.217,.318,.536,50,14,1,0,1,,0
27,P,Zeb Eaton\eatonze01,25,26,32,32,2,8,1,0,2,10,0,0,0,7,.250,.250,.469,.719,101,15,1,0,0,,0
28,P,Jim Tobin\tobinji01,32,17,27,25,2,3,0,0,2,5,0,0,1,5,.120,.154,.360,.514,43,9,2,0,1,,0
29,P,Walter Wilson*\wilsowa01,31,25,21,19,1,1,0,0,0,0,0,0,0,9,.053,.053,.053,.105,-70,1,0,0,2,,0
30,P,Joe Orrell\orreljo01,28,12,15,15,0,2,0,0,0,0,0,0,0,6,.133,.133,.133,.267,-25,2,1,0,0,,0
31,P,George Caster\castege01,37,22,15,11,0,2,0,0,0,1,0,0,2,3,.182,.308,.182,.490,39,2,0,0,2,,0
32,P,Art Houtteman\houttar01,17,13,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,,0
33,P,Prince Oana\oanapr01,35,4,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,13,1,0,0,0,,0
34,P,Tommy Bridges\bridgto01,38,4,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,,0
35,P,Virgil Trucks\truckvi01,28,1,3,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,-3,0,0,0,0,,0
36,P,Billy Pierce*\piercbi02,18,5,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,,0
37,P,Pat McLaughlin\mclaupa01,34,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0
,,Team Totals,32.5,155,5885,5257,633,1345,227,47,77,588,60,54,517,533,.256,.324,.361,.684,93,1897,112,9,102,,47
,,Rank in 8 AL teams,,,,4,2,3,1,5,2,,5,6,4,4,5,6,2,2,,2,,8,,,
,,Non-Pitcher Totals,33.0,155,5346,4767,596,1253,211,43,70,534,59,52,496,429,.263,.333,.369,.703,98,1760,99,9,74,,47
,,Pitcher Totals,28.3,155,539,490,37,92,16,4,7,54,1,2,21,104,.188,.221,.280,.501,41,137,13,0,28,,0

 

 

